#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
95,Egreedy,1,95,5.5/3.75,0.006277322769165039,2.3945224285125732,None,1,[1 0 1 0 0 1 2 0 0 0 0 2 2 0 0 0 0 0 1 0 0 1 0 0 0 0 1]
96,Egreedy,1,96,5.25/3.5,0.006410121917724609,2.400932550430298,None,1,[1 0 1 1 0 1 2 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
97,Egreedy,1,97,4.75/5.0,0.01878666877746582,2.4197192192077637,None,3,[1 0 1 1 0 1 2 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1]
98,Egreedy,1,98,3.5/5.25,0.01663947105407715,2.436358690261841,None,2,[0 2 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0 0 0 0 1]
99,Egreedy,1,99,4.5/4.25,0.03611421585083008,2.472472906112671,None,2,[0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0 0 0 0 1]
100,Egreedy,1,100,3.25/5.0,0.023370742797851562,2.4958436489105225,None,2,[0 2 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1]
101,Egreedy,1,101,2.75/4.5,0.05825042724609375,2.554094076156616,None,4,[0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 1]
102,Egreedy,1,102,2.75/4.5,0.08101749420166016,2.6351115703582764,None,14,[0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1]
103,Egreedy,1,103,2.25/4.5,0.05595898628234863,2.691070556640625,None,9,[0 2 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 1 1 1]
104,Egreedy,1,104,3.5/3.25,0.006608486175537109,2.697679042816162,None,1,[0 2 0 0 0 0 0 0 0 0 1 2 0 0 1 1 1 0 1 1 0 0 0 1 1 1 1]
105,Egreedy,1,105,3.25/3.0,0.006159067153930664,2.7038381099700928,None,1,[0 2 0 0 0 0 0 0 0 0 1 2 0 0 1 1 1 0 1 1 0 0 0 1 0 1 1]
106,Egreedy,1,106,3.5/3.25,0.006150245666503906,2.7099883556365967,None,1,[0 2 0 0 0 0 0 0 0 0 1 2 0 0 1 1 1 0 1 1 0 0 2 0 0 0 0]
107,Egreedy,1,107,3.25/3.0,0.0060422420501708984,2.7160305976867676,None,1,[0 2 0 0 0 0 0 0 0 0 1 2 0 0 1 1 1 0 0 1 0 0 2 0 0 0 0]
108,Egreedy,1,108,3.25/3.0,0.01225733757019043,2.728287935256958,None,2,[0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 1 1 0 0 1 1 0 2 0 0 0 0]
109,Egreedy,1,109,3.5/2.75,0.012255430221557617,2.7405433654785156,None,2,[0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 1 1 0 2 0 0 0 0]
110,Egreedy,1,110,3.0/2.25,0.027539491653442383,2.768082857131958,None,2,[0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 1 1 1 0 0 0 0 0 1]
111,Egreedy,1,111,3.0/2.75,0.028427839279174805,2.796510696411133,None,2,[0 2 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 1 1 1 0 0 0 0 0 1]
112,Egreedy,1,112,2.75/2.5,0.03427004814147949,2.8307807445526123,None,1,[0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1]
